,Identifier,drop,count,ratio
0,D7_L-7C4R5,-,232,24.759871931696907
1,D2_L-5C3R1,-,100,10.672358591248667
2,D5_L-3C2R5,-,56,5.9765208110992525
3,D19_L-18C5R7,-,51,5.44290288153682
4,D9_L-10C2R2,-,34,3.628601921024546
5,D1_L-2R0,-,23,2.454642475987193
6,D2_L-1R2,-,22,2.3479188900747063
7,D1_L-1R1,-,19,2.0277481323372464
8,D4_L-5C1R1,-,17,1.814300960512273
9,D29_L-28C3R5,-,15,1.6008537886872998
10,D21_L-15C3R10,-,11,1.1739594450373532
11,D6_L-2C1R6,-,11,1.1739594450373532
12,D21_L-21C3R4,-,11,1.1739594450373532
13,D8_L-2C1R8,-,9,0.96051227321238
14,D3_L-4R0,-,8,0.8537886872998933
15,D3_L-1C1R4,-,8,0.8537886872998933
16,D17_L-9C3R12,-,8,0.8537886872998933
17,D6_L-7R0,-,8,0.8537886872998933
18,D18_L-19C2R2,-,8,0.8537886872998933
19,D5_L-6R0,-,7,0.7470651013874066
20,D27_L-16C3R15,-,6,0.6403415154749199
21,D4_L-1R4,-,6,0.6403415154749199
22,D7_L-8R0,-,6,0.6403415154749199
23,D6_L-6C1R2,-,6,0.6403415154749199
24,I1_L-1C1R1,-,5,0.5336179295624333
25,I1_L-2C1R0,-,5,0.5336179295624333
26,D29_L-22C2R10,-,5,0.5336179295624333
27,D15_L-8C2R10,-,4,0.42689434364994666
28,D13_L-13C2R3,-,4,0.42689434364994666
29,D20_L-12C2R11,-,4,0.42689434364994666
30,D7_L-1R7,-,4,0.42689434364994666
31,D25_L-24C2R4,-,4,0.42689434364994666
32,D30_L-26C2R7,-,4,0.42689434364994666
33,D9_L-1R9,-,3,0.32017075773745995
34,I1_L-1R0,-,3,0.32017075773745995
35,D3_L-3R1,-,3,0.32017075773745995
36,D14_L-2C1R14,-,3,0.32017075773745995
37,D8_L-4C1R6,-,3,0.32017075773745995
38,D10_L-1R10,-,3,0.32017075773745995
39,D13_L-2C1R13,-,3,0.32017075773745995
40,D23_L-14C2R12,-,3,0.32017075773745995
41,D12_L-13R0,-,3,0.32017075773745995
42,D11_L-12R0,-,3,0.32017075773745995
43,D10_L-11R0,-,3,0.32017075773745995
44,D8_L-9R0,-,3,0.32017075773745995
45,D8_L-7C1R3,-,3,0.32017075773745995
46,D16_L-4C1R14,-,3,0.32017075773745995
47,D22_L-23C1R1,-,2,0.21344717182497333
48,D16_L-17C1R1,-,2,0.21344717182497333
49,D3_L-2R2,-,2,0.21344717182497333
50,D12_L-1R12,-,2,0.21344717182497333
51,D28_L-8C3R24,-,2,0.21344717182497333
52,D10_L-9C1R3,-,2,0.21344717182497333
53,D30_L-13C3R21,-,2,0.21344717182497333
54,D12_L-12C1R2,-,2,0.21344717182497333
55,D10_L-4C1R8,-,2,0.21344717182497333
56,D26_L-27C1R1,-,2,0.21344717182497333
57,D15_L-4C1R13,-,2,0.21344717182497333
58,D14_L-17C2R0,-,2,0.21344717182497333
59,D28_L-2C1R28,-,2,0.21344717182497333
60,D11_L-1R11,-,2,0.21344717182497333
61,D30_L-4C1R28,-,2,0.21344717182497333
62,D4_L-3R2,-,2,0.21344717182497333
63,D16_L-2C1R16,-,2,0.21344717182497333
64,D30_L-1C1R31,-,2,0.21344717182497333
65,D26_L-18C1R10,-,2,0.21344717182497333
66,D24_L-27C2R0,-,2,0.21344717182497333
67,D28_L-20C1R10,-,2,0.21344717182497333
68,D13_L-15C1R0,-,2,0.21344717182497333
69,D27_L-9C2R21,-,2,0.21344717182497333
70,D20_L-1R20,-,2,0.21344717182497333
71,D14_L-6C1R10,-,2,0.21344717182497333
72,D24_L-24C1R2,-,1,0.10672358591248667
73,D19_L-20R0,-,1,0.10672358591248667
74,D29_L-30R0,-,1,0.10672358591248667
75,D21_L-1R21,-,1,0.10672358591248667
76,D12_L-10C1R4,-,1,0.10672358591248667
77,D28_L-29R0,-,1,0.10672358591248667
78,D28_L-18C1R12,-,1,0.10672358591248667
79,D21_L-22R0,-,1,0.10672358591248667
80,D20_L-21R0,-,1,0.10672358591248667
81,D28_L-16C1R14,-,1,0.10672358591248667
82,D30_L-7C2R26,-,1,0.10672358591248667
83,D19_L-1R19,-,1,0.10672358591248667
84,D22_L-1R22,-,1,0.10672358591248667
85,D26_L-1R26,-,1,0.10672358591248667
86,D6_L-3R4,-,1,0.10672358591248667
87,D5_L-5R1,-,1,0.10672358591248667
88,D25_L-26R0,-,1,0.10672358591248667
89,D18_L-1R18,-,1,0.10672358591248667
90,D15_L-16R0,-,1,0.10672358591248667
91,D18_L-11C1R9,-,1,0.10672358591248667
92,D28_L-13C2R18,-,1,0.10672358591248667
93,D23_L-1R23,-,1,0.10672358591248667
94,D15_L-1R15,-,1,0.10672358591248667
95,D5_L-4R2,-,1,0.10672358591248667
96,D30_L-30C1R2,-,1,0.10672358591248667
97,D25_L-1R25,-,1,0.10672358591248667
98,D29_L-1R29,-,1,0.10672358591248667
99,D24_L-7C2R20,-,1,0.10672358591248667
100,D17_L-1R17,-,1,0.10672358591248667
101,D29_L-13C2R19,-,1,0.10672358591248667
102,I2_L-1C1R1,-,1,0.10672358591248667
103,D28_L-28C1R2,-,1,0.10672358591248667
104,D29_L-7C2R25,-,1,0.10672358591248667
105,D23_L-24R0,-,1,0.10672358591248667
106,D16_L-6C1R12,-,1,0.10672358591248667
107,D20_L-20C1R2,-,1,0.10672358591248667
108,D27_L-28R0,-,1,0.10672358591248667
109,D27_L-1R27,-,1,0.10672358591248667
110,D16_L-11C1R7,-,1,0.10672358591248667
111,D24_L-1R24,-,1,0.10672358591248667
112,D23_L-7C2R19,-,1,0.10672358591248667
113,D30_L-20C1R12,-,1,0.10672358591248667
114,D19_L-9C1R12,-,1,0.10672358591248667
115,D30_L-9C1R23,-,1,0.10672358591248667
116,D22_L-21C1R3,-,1,0.10672358591248667
117,D21_L-8C1R15,-,1,0.10672358591248667
118,D22_L-7C2R18,-,1,0.10672358591248667
119,D22_L-16C1R8,-,1,0.10672358591248667
120,I2_L-1C2R2,-,1,0.10672358591248667
121,I2_L-5C5R1,-,1,0.10672358591248667
122,D17_L-18R0,-,1,0.10672358591248667
123,D18_L-4C1R16,-,1,0.10672358591248667
124,D14_L-13C1R3,-,1,0.10672358591248667
125,D22_L-12C1R12,-,1,0.10672358591248667
126,I2_L-2C1R0,-,1,0.10672358591248667
127,D27_L-22C1R7,-,1,0.10672358591248667
128,D13_L-8C1R7,-,1,0.10672358591248667
129,I2_L-1R0,-,1,0.10672358591248667
130,D24_L-11C1R15,-,1,0.10672358591248667
131,D11_L-3R9,-,1,0.10672358591248667
132,D26_L-15C1R13,-,1,0.10672358591248667
133,D20_L-16C1R6,-,1,0.10672358591248667
134,D30_L-31R0,-,1,0.10672358591248667
135,D10_L-2R9,-,1,0.10672358591248667
136,D4_L-2R3,-,1,0.10672358591248667
137,D7_L-2R6,-,1,0.10672358591248667
138,D24_L-9C1R17,-,1,0.10672358591248667
139,D13_L-3R11,-,1,0.10672358591248667
140,D6_L-4R3,-,1,0.10672358591248667
141,D29_L-15C1R16,-,1,0.10672358591248667
142,D18_L-15C1R5,-,1,0.10672358591248667
